DATETIME,TANGARA_25CE,TANGARA_260A,TANGARA_4B1A,TANGARA_D89A,TANGARA_1282,TANGARA_14D6,TANGARA_1A1E,TANGARA_1EE6,TANGARA_2492,TANGARA_2822,TANGARA_2E9A,TANGARA_307A,TANGARA_3782,TANGARA_1712,TANGARA_48C6,TANGARA_F1AE,TANGARA_06BE
2023-05-28T01:51:30-05:00,42,,50,,,,62,,,17,13,25,,25,17,21,34
2023-05-28T01:52:00-05:00,34,,50,,,34,60,,,17,13,25,,25,21,25,34
2023-05-28T01:52:30-05:00,38,,55,,,34,62,,,21,13,25,,25,21,21,38
2023-05-28T01:53:00-05:00,42,,55,,64,34,60,,,17,13,25,,25,21,,38
2023-05-28T01:53:30-05:00,42,,58,,55,34,55,,38,17,13,25,,25,21,25,38
2023-05-28T01:54:00-05:00,38,,60,,50,30,58,,34,17,13,30,,25,21,25,42
2023-05-28T01:54:30-05:00,38,,58,,42,34,60,,34,17,13,25,,25,25,21,38
2023-05-28T01:55:00-05:00,38,,58,,42,34,62,,34,13,13,25,,25,21,21,42
2023-05-28T01:55:30-05:00,38,,58,,42,34,60,,38,17,13,25,,25,13,21,38
2023-05-28T01:56:00-05:00,38,,58,,38,34,62,,34,13,13,25,,25,17,21,38
2023-05-28T01:56:30-05:00,38,,60,,34,30,62,,34,17,13,30,,30,13,17,34
2023-05-28T01:57:00-05:00,38,,58,,42,30,64,,30,17,13,25,,30,21,21,38
2023-05-28T01:57:30-05:00,46,,55,,38,30,62,,34,17,13,25,,25,17,25,34
2023-05-28T01:58:00-05:00,42,,58,,42,30,60,,34,17,13,25,,30,13,21,34
2023-05-28T01:58:30-05:00,38,,60,,42,34,62,,34,17,13,25,,25,25,21,38
2023-05-28T01:59:00-05:00,38,,58,,70,30,62,,30,21,13,25,,25,17,21,34
2023-05-28T01:59:30-05:00,42,,62,,,30,60,,30,38,13,25,,25,17,25,34
2023-05-28T02:00:00-05:00,42,,55,,,30,58,,30,25,17,25,,30,25,21,38
2023-05-28T02:00:30-05:00,38,,60,,,25,58,,30,21,13,25,,25,21,21,38
2023-05-28T02:01:00-05:00,38,,60,,,34,60,,34,25,9,25,,30,17,21,38
2023-05-28T02:01:30-05:00,42,,64,,72,30,64,,34,25,9,25,,25,17,21,34
2023-05-28T02:02:00-05:00,38,,64,,,30,62,,34,25,9,25,,25,17,21,38
2023-05-28T02:02:30-05:00,38,,62,,72,25,58,,30,25,13,25,,25,21,30,42
2023-05-28T02:03:00-05:00,34,,66,,,34,60,,34,30,9,25,,25,13,30,38
2023-05-28T02:03:30-05:00,42,,62,,66,30,60,,30,34,9,25,,25,21,25,34
2023-05-28T02:04:00-05:00,38,,62,,55,30,60,,34,34,9,25,,25,30,25,
2023-05-28T02:04:30-05:00,38,,64,,50,30,58,,34,38,9,25,,30,25,30,
2023-05-28T02:05:00-05:00,38,,62,,42,38,58,,34,25,9,25,,34,25,30,
2023-05-28T02:05:30-05:00,42,,60,,38,34,58,,30,30,9,21,,30,25,30,
2023-05-28T02:06:00-05:00,38,,,,38,38,58,,34,25,9,25,,30,30,30,
2023-05-28T02:06:30-05:00,38,,,,42,34,55,,34,25,9,25,,30,30,30,
2023-05-28T02:07:00-05:00,38,,,,38,38,55,,38,25,9,25,,30,21,34,
2023-05-28T02:07:30-05:00,38,,,,38,38,60,,34,21,9,25,,,25,38,
2023-05-28T02:08:00-05:00,34,,,,34,42,58,,34,21,9,25,,30,21,38,
2023-05-28T02:08:30-05:00,38,,,,38,38,58,,34,21,9,25,,,21,38,
2023-05-28T02:09:00-05:00,38,,,,38,38,58,,34,17,5,25,,30,21,42,38
2023-05-28T02:09:30-05:00,38,,,,34,38,58,,38,17,5,25,,30,21,38,38
2023-05-28T02:10:00-05:00,34,,,,38,34,58,,34,17,5,25,,,25,42,42
2023-05-28T02:10:30-05:00,38,,,,34,38,60,,30,17,5,25,,30,17,42,42
2023-05-28T02:11:00-05:00,38,,,,34,38,58,,30,21,5,25,,30,17,42,38
2023-05-28T02:11:30-05:00,38,,,,38,42,58,,34,17,5,25,,30,25,42,42
2023-05-28T02:12:00-05:00,34,,,,34,38,58,,34,17,5,25,,25,25,38,42
2023-05-28T02:12:30-05:00,38,,,,34,38,60,,30,17,5,30,,25,30,38,38
2023-05-28T02:13:00-05:00,38,,,,38,38,58,,34,17,9,21,,25,21,38,42
2023-05-28T02:13:30-05:00,38,,,,34,42,58,,34,17,5,25,,25,21,38,42
2023-05-28T02:14:00-05:00,42,,,,42,46,60,,34,13,5,21,,25,21,38,42
2023-05-28T02:14:30-05:00,38,,,,38,46,58,,38,13,5,21,,30,30,42,42
2023-05-28T02:15:00-05:00,38,,,,38,42,58,,34,17,9,25,,25,25,38,42
2023-05-28T02:15:30-05:00,38,,,,38,42,58,,30,17,9,25,,25,30,34,38
2023-05-28T02:16:00-05:00,38,,,,38,46,60,,34,17,9,25,,25,25,38,42
2023-05-28T02:16:30-05:00,42,,,,34,42,60,,34,17,5,30,,25,25,38,38
