DATETIME,TANGARA_DD66,TANGARA_25CE,TANGARA_260A,TANGARA_4B1A,TANGARA_D89A,TANGARA_1282,TANGARA_14D6,TANGARA_1A1E,TANGARA_2492,TANGARA_2822,TANGARA_2E9A,TANGARA_307A,TANGARA_3782_x,TANGARA_3782_y,TANGARA_F212,TANGARA_1712,TANGARA_48C6,TANGARA_F1AE,TANGARA_06BE
2023-05-25T01:12:30-05:00,,9,21,21,,17,9,38,13,9,9,5,,,13,5,0,9,9
2023-05-25T01:13:00-05:00,,9,17,17,,21,9,30,17,9,9,9,,,13,5,0,9,13
2023-05-25T01:13:30-05:00,,9,17,17,,25,9,21,17,9,9,9,,,13,5,0,9,9
2023-05-25T01:14:00-05:00,,9,17,17,,25,9,25,17,9,13,5,,,13,5,5,9,9
2023-05-25T01:14:30-05:00,,9,17,21,,25,9,17,17,9,9,5,,,17,5,0,9,9
2023-05-25T01:15:00-05:00,,9,17,21,,25,9,17,17,9,9,5,,,13,5,5,9,9
2023-05-25T01:15:30-05:00,,13,21,21,,21,13,17,17,9,9,5,,,13,5,5,9,9
2023-05-25T01:16:00-05:00,,9,17,17,,21,9,13,17,9,9,5,,,17,5,0,9,9
2023-05-25T01:16:30-05:00,,9,17,21,,21,9,13,21,9,9,5,,,13,5,9,9,9
2023-05-25T01:17:00-05:00,,9,17,17,,25,13,13,21,9,13,5,,,13,5,0,9,9
2023-05-25T01:17:30-05:00,,9,17,17,,25,13,13,21,9,9,5,,,13,5,0,9,9
2023-05-25T01:18:00-05:00,,9,17,17,,21,13,13,21,9,13,5,,,13,5,5,13,9
2023-05-25T01:18:30-05:00,,9,17,17,,21,9,9,25,9,9,9,,,13,5,0,9,9
2023-05-25T01:19:00-05:00,,9,17,17,,21,13,9,25,9,9,5,,,13,9,9,9,9
2023-05-25T01:19:30-05:00,,9,17,17,,21,13,13,25,9,9,5,,,17,5,0,9,9
2023-05-25T01:20:00-05:00,,9,17,13,,25,13,17,25,9,9,5,,,13,5,5,9,9
2023-05-25T01:20:30-05:00,,9,17,21,,21,13,17,21,9,9,5,,,13,5,5,9,9
2023-05-25T01:21:00-05:00,,9,17,17,,30,13,25,25,9,9,9,,,13,5,5,9,9
2023-05-25T01:21:30-05:00,,9,17,17,,30,17,30,25,9,9,5,,,13,9,5,9,9
2023-05-25T01:22:00-05:00,,9,17,17,,30,13,30,25,9,13,9,,,13,5,0,9,5
2023-05-25T01:22:30-05:00,,9,17,17,,34,17,25,21,9,9,5,,,13,5,0,9,9
2023-05-25T01:23:00-05:00,,9,17,17,,34,17,25,21,9,13,5,,,13,5,5,9,9
2023-05-25T01:23:30-05:00,,9,17,17,,30,17,34,17,9,13,5,,,13,5,5,9,9
2023-05-25T01:24:00-05:00,,9,21,17,,34,,34,17,9,13,9,,,17,5,0,9,9
2023-05-25T01:24:30-05:00,,9,17,21,,30,17,34,17,9,13,5,,,13,5,0,9,9
2023-05-25T01:25:00-05:00,,9,17,17,,25,21,30,17,9,13,5,,,13,5,5,13,9
2023-05-25T01:25:30-05:00,,5,17,17,,21,17,34,17,9,9,9,,,13,5,5,13,9
2023-05-25T01:26:00-05:00,17,9,17,21,,25,21,38,21,9,9,5,,,13,5,5,17,9
2023-05-25T01:26:30-05:00,17,13,17,17,,21,17,34,17,9,9,5,,,17,5,0,17,9
2023-05-25T01:27:00-05:00,17,9,21,21,,21,17,34,17,9,9,5,,,13,5,0,17,9
2023-05-25T01:27:30-05:00,17,21,17,17,,25,17,38,17,9,13,5,,,13,5,5,13,9
