DATETIME,TANGARA_25CE,TANGARA_D89A,TANGARA_1282,TANGARA_14D6,TANGARA_1A1E,TANGARA_2492,TANGARA_2822,TANGARA_2E9A,TANGARA_307A,TANGARA_333E,TANGARA_3782,TANGARA_48C6,TANGARA_F1AE,TANGARA_06BE
2023-05-22T02:28:00-05:00,17,,30,46,21,9,34,9,21,,64,9,21,13
2023-05-22T02:28:30-05:00,17,,34,42,17,13,34,9,17,,60,13,21,17
2023-05-22T02:29:00-05:00,17,,34,42,21,9,34,9,21,,60,,25,13
2023-05-22T02:29:30-05:00,17,,34,42,17,9,34,9,17,,58,9,25,13
2023-05-22T02:30:00-05:00,17,,34,42,17,9,34,9,17,,,9,21,13
2023-05-22T02:30:30-05:00,17,,34,42,21,9,34,9,17,,60,21,21,13
2023-05-22T02:31:00-05:00,17,,34,46,17,9,34,9,17,,64,13,25,13
2023-05-22T02:31:30-05:00,17,,30,46,17,9,34,9,17,,64,13,25,13
2023-05-22T02:32:00-05:00,17,,30,46,17,9,34,9,17,,64,17,25,13
2023-05-22T02:32:30-05:00,17,,34,46,17,9,34,9,17,,62,5,25,13
2023-05-22T02:33:00-05:00,17,,34,46,21,9,34,9,17,,60,9,25,13
2023-05-22T02:33:30-05:00,17,,25,46,21,9,34,9,17,,62,9,25,13
2023-05-22T02:34:00-05:00,17,,30,46,17,9,34,9,17,,60,9,25,13
2023-05-22T02:34:30-05:00,17,,30,42,21,9,34,13,17,,60,13,30,17
2023-05-22T02:35:00-05:00,21,,30,42,21,9,34,9,13,,60,17,30,17
2023-05-22T02:35:30-05:00,17,,25,42,21,9,34,13,13,,58,13,21,13
2023-05-22T02:36:00-05:00,17,,25,42,21,9,34,9,13,,55,9,21,13
2023-05-22T02:36:30-05:00,17,,34,46,21,13,34,9,13,,55,17,21,13
